Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist 2,$52K - $95K (Glassdoor est.),"Description
Digital Health and Analytics within Humana is dedicated to transform members’ health experience and Humana’s services using technology and analytics. We are looking for a Data Scientist 2 who will design studies and utilize cutting-edge predictive modeling techniques, test rigorous hypotheses, and turn data and insights into actionable plans. Being part of talented team of data scientists with broad skills and applications, the Data Scientist will work cross-functionally and collaboratively with teams across the enterprise through innovative R&D, machine learning, and cutting-edge platforms. The scope of our work includes forecasting, predictive modeling, designing business experiments, and ROI studies. The ideal candidate will have hands-on experience on healthcare data, demonstrated innovative and creative methods for overcoming testing constraints, as well as successfully applying machine learning techniques to address business needs.
Responsibilities
The Data Scientist 2 develops, maintains, and collects structured and unstructured data sets for analysis and reporting. Creates reports, projections, models, and presentations to support business strategy and tactics. Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas. Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed. Follows established guidelines/procedures.
Responsibilities
Develop and validate statistical forecasting models or predictive models and tools
Research and evaluate innovative analytical methodologies, approaches, and solutions
Collaborate with analytic and data teams to set objectives, approaches, and work plans
Interprets and communicates analytic results to analytical and non-analytical business partners
Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas
Make decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed

Required Qualifications
Master's Degree in a quantitative discipline, such as Computer Science, Mathematics or Statistics and/or related quantitative field
2+ years of experience in advanced data analytics
Demonstrated experience with SAS, SQL, MATLAB, DataRobot, Python or similar statistical and scripting tools
Experience developing and validating statistical forecasting models or predictive models
Experience interpreting and communicating analytic results to analytical and non-analytical business partners
Naturally curious and comfortable with ambiguity and demonstrate critical thinking
Clear and concise oral and written communication skills, with a proven ability to translate complex methodologies and analytical results to non-technical business insights
Strong interpersonal and consulting skills
Preferred Qualifications
PhD in a quantitative discipline, such as Computer Science, Mathematics or Statistics and/or related quantitative field
Healthcare or managed care experience
Experience building large-scale predictive models
Experience in Big Data environment specifically PySpark and/or Databricks
Experience in deep learning, natural language processing, and recommendation systems
Additional Information
This position is based on either Humana’s headquarters in Louisville-KY or Humana’s Studio-H in Boston-MA.
Scheduled Weekly Hours
40",3.9,"Humana
3.9","Louisville, KY",-1,10000+ Employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
Lead Data Scientist,$94K - $155K (Glassdoor est.),"Description
The Lead Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Lead Data Scientist works on problems of diverse scope and complexity ranging from moderate to substantial.
Responsibilities
The Lead Data Scientist develops, maintains, and collects structured and unstructured data sets for analysis and reporting. Creates reports, projections, models, and presentations to support business strategy and tactics. Advises executives to develop functional strategies (often segment specific) on matters of significance. Exercises independent judgment and decision making on complex issues regarding job duties and related tasks, and works under minimal supervision, Uses independent judgment requiring analysis of variable factors and determining the best course of action.
Work closely with AI Implementation Lead to understand the key business feedback and implement in models when necessary
Ability to work within other workstreams in an overflow capacity

Required Qualifications
PhD + 2 years’ experience, Master’s Degree + 4 years’ experience OR Bachelor’s Degree + 6 years’ experience.
Data Analytics, Computer Science or related quantitative program.
2+ years’ experience in project, process or people leadership
Experience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions
Successful demonstrated experience in working on problems of diverse scope and complexity ranging from moderate to substantial
Experience in developing, maintaining, and collecting structured and unstructured data sets for analysis and reporting
Experience in creating reports, projections, models, and presentations to support business
Ability to exercise independent judgment and decision making on complex issues regarding job duties and related tasks
Ability to works under minimal supervision, using independent judgment
Must be passionate about contributing to an organization focused on continuously improving consumer experiences
Preferred Qualifications
PhD
Additional Information
Scheduled Weekly Hours
40",3.9,"Humana
3.9","Boston, MA",-1,10000+ Employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist,-1,"Ke'aki Technologies, LLC is looking for a qualified Data Scientist to support the Air Force Medical Service (AFMS) in San Antonio, TX.
RESPONSIBILITIES:
Provide analytical tools and resources to assess the health of the Military Health System (MHS) beneficiary population.
Provide technical expertise in the areas of prevention, managed care, medical readiness issues, health promotion, clinical safety and quality, and other health Service-related issues in order to support the DHA.
Perform clinical and business analytical studies using accepted data science techniques to provide insight into areas of trending/improvement for prevention, managed care, medical readiness issues, health promotion, clinical safety and quality, and other health Service-related issues.
Aggregate and analyze population health data to respond to questions from the various Congressional inquiries, DoD senior leaders, DHA, Services’ Surgeon General, Service-specific Headquarters agencies, and the MTFs.
Access, validate and analyze information about the MHS population by developing, validating and linking various medical, safety, environmental, occupational and personnel databases.
Identify and troubleshoot data import, analysis, and display errors from multiple data sources.
Provide data analysis and decision support using research expertise as well as literature review/evidence-base to develop clinical and business measures and prototypes of health information technology (IT) tools, programs, procedures, services or databases to support DHA’s goal of building a managed healthcare system that considers and optimizes safety, quality, cost and access.
Research, identify and apply, when available, national/standardized benchmarks and thresholds to DHA/MHS metrics as appropriate or the contractor shall identify reasons established benchmarks/thresholds/methods are not appropriate/relevant.
Provide technical knowledge to customers, internal and external to DHA, regarding study design and methodologies. Provide program management to refine the business and clinical measures and prototypes for optimal implementation by DHA and other agencies/MHS as appropriate.
REQUIRED SKILLS AND EXPERIENCE:
Must have experience with Data Modeling and the application of Predictive Analytics.
Mush have expert level skills in one or more of the following: Python, R, SQL, SAS, Tableau/Tableau Creator and Application/Dashboard Development.
Must have a three year experience data mining and analysis of MHS health data.
Able to read, write, speak and understand English.
Proven ability to synthesize disparate facts from multiple sources and coalesce into an accurate and useful analytic product, incorporating Service and MHS strategic goals for use by leadership in both tactical and strategic decision making.
Demonstrated ability to provide accurate and timely analytical products containing well‐reasoned and cogent discussion points providing leadership with substantiated options or courses of action.
Demonstrated ability to organize/participate/lead working groups to develop analytic products and byproducts or to develop/understand processes leading to effective optimization of analytic efforts.
Demonstrated ability to effectively and clearly communicate analytical discoveries and appropriate recommendations/mitigation strategies to all levels of customers including Senior DHA leadership.
Demonstrated advanced proficiency in Microsoft Office products PLUS additional software/hardware skills and capabilities.
Ability to critically examine and evaluate, problem-solve.
Demonstrated ability to undertake and complete multiple tasks with multiple deadlines simultaneously.
Ability to deliver products on time, on schedule, within budget.
Flexibility and ability to adapt to rapidly changing and often time-constrained environment.
Ability to acquire skills/capabilities necessary to meet growing needs/demands of systems/software/hardware.
Must have an active Tier 1 background check to obtain a common access card (CAC)
Must be a U.S. Citizen
DEGREE/EDUCATION/CERTIFICATION REQUIREMENT:
Master’s degree in Public Health, Health Services Research, Epidemiology, Mathematics, Biostatistics, Statistics, Informatics or related areas, or previous participation in advanced training/program with one of those related areas, and identified as a Fellow in their area of expertise is required. Other significant related clinical/medical/health data experience such as previous participation in an analytics/quantitative field fellowship/training may be considered as an appropriate substitute for education, but minimum of Bachelor’s degree in above areas required unless otherwise specified and with few exceptions.
CITIZENSHIP/SECURITY CLEARANCE REQUIREMENTS:
A Tier I background check will be required.
Ke'aki Technologies LLC is a fast-growing government service provider. Employees enjoy competitive salaries; a 401K plan with company match; medical, dental, disability, and life insurance coverage; tuition reimbursement; paid vacation and sick time; and 10 paid holidays. Ke'aki Technologies is proud to be an equal opportunity employer.
Job Type: Full-time
Pay: $0.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Vision insurance
Schedule:
8 hour shift
Education:
Bachelor's (Preferred)
Experience:
MHS: 3 years (Preferred)
SQL: 2 years (Preferred)
SAS: 2 years (Preferred)
Work Location:
One location
Company's website:
www.alakainafoundation.com",-1,Alaka`ina Foundation Family of Companies,"San Antonio, TX",-1,-1,-1,-1,-1,-1,-1,-1
Environmental Scientist/Risk Assessor,$28K - $48K (Glassdoor est.),"The desired candidate will be located in any one of the above listed locations.

We are currently seeking an Environmental Scientist/Risk Assessor to join our growing Toxicology, Health, and Ecological Sciences practice.

Responsibilities
As an Environmental Scientist/Risk Assessor, your job functions will include, but not be limited to:
Completing statistical analyses to support environmental investigations and preparing summaries and graphical visualization of results
Performing quality assurance reviews of technical analyses and results
Conducting research and summarizing technical findings
Critically reviewing scientific studies, exposure assessments, and statistical analyses
Preparing reports and presentations
Leading data preparation activities such as organizing, tracking, and summarizing environmental data sources
Designing and conducting field programs to assess environmental contamination
Performing calculations to support human health and ecological risk assessments.
Qualifications
B.S. or M.S. in biology, toxicology, public health, or a related field
3–5 years of work experience
Demonstrated competency in statistics and quantitative data analysis
Knowledge of and experience in regulatory toxicology and/or human health risk assessment
Excellent written and oral communication skills.
Competitive salary is commensurate with experience. Integral Consulting Inc. provides an exceptional benefits package with company-subsidized insurance, and an exciting work environment with opportunities for significant professional growth.
All offers of employment are contingent on candidates passing a background screening that includes employment history, criminal background, Federal Watch List, a drug and alcohol screening, and, if applicable, a degree verification. Candidates will receive a written notice of this requirement. All screenings will be done in accordance with all local, state, and federal laws.
We are proud to be an equal employment opportunity employer and are committed to a proactive program of affirmative action and diversity development.
Integral Consulting Inc. provides equal opportunity in all of our employment practices to all qualified employees and applicants without regard to race; color; religion; gender (including pregnancy, childbirth, or related medical conditions); national origin; age; sexual orientation; disability; marital status; military, veteran, or Vietnam Era Veterans’ Readjustment Assistance Act protected veteran status; gender identity or gender expression; or any other category protected by federal, state, and local laws. The “EEO is the Law” poster can be viewed HERE.",3.8,"Integral Consulting Inc.
3.8","Annapolis, MD",-1,51 to 200 Employees,-1,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1
Senior Data Scientist,-1,"About Fracta
Fracta.ai usesmachine learning and big data to optimize infrastructure investments – starting with water pipe network replacement solutions for water utilities worldwide. Our mission is to help utilities manage and conserve resources through the creation of intelligent infrastructure. Fracta gives utility companies the most comprehensive view of conditions, allowing them to optimize replacement decisions and reduce costs by as much as 40 percent.
About the Role
We are looking for a results-driven, motivated Senior Data Scientist who is passionate about creating world-class machine learning models and predictions. This is a very senior role which will allow you to test innovative techniques and models to improve the accuracy of our core algorithm and create a huge impact at the company. It is a role which requires creativity and a keen ability to solve difficult data problems. We take personal development seriously, so all members of the data science team receive mentoring and opportunities to grow in their careers.
Required Qualifications
Strong knowledge and experience in implementing machine learning in real-world applications – minimum 3 years of experience. Experience with structured data.
Knowledge and ability to deal with challenging data problems such as data mining, feature definition and ML-based data cleaning.
Demonstrated ability to work with highly imbalanced data sets
Experience working with data in a cloud-based application (AWS, GCP, Azure)
Knowledge of Python required, PyTorch and SQL (BigQuery) preferred
Team player: able to solve problems as part of a team and coach junior engineers
Desire and ability to work in a fast-paced, results-oriented start-up
Position is based downtown Redwood City, CA, right by the Caltrain station.
Job Type: Full-time
Pay: From $100,000.00 per year
COVID-19 considerations:
We have COVID-19 procedures in place for the office.",-1,Fracta,"Redwood City, CA",-1,-1,-1,-1,-1,-1,-1,-1
Scientist,-1,"Position Summary:
The Scientist is a multi-disciplinary molecular biology position that will contribute to the organization as part of the Laboratory Operations team, bringing curiosity, problem solving skills, and scientific acumen to LGC. The Laboratory Operations team supports various wings of the organization such as Research and Development, Sales, Marketing, Customer Service, and Manufacturing.
The scope of this position will include support of new product development, the development of new applications or data generation for existing products, and continued customer support. This may include operating molecular biology lab instrumentation, developing testing methodologies, analysing and troubleshooting data, and staying current on emerging technologies in the field of molecular biology. This position will require a fusion of knowledge from genomics, molecular biology, chemistry, PCR-based genetic analysis, and laboratory automation.
Areas of Responsibility:
To perform this job successfully, an individual must be able to perform each essential function satisfactorily.
Essential Functions:
Research and Applications Development: The Scientist holds an important role for current and future scientific applications. This may include development of applications with existing technologies or product extensions, and involve performing feasibility and proof of concept studies. The position will assist in guiding new product development or improvements to existing products. The Scientist must effectively apply knowledge of chemistry and instrumentation to provide solutions that meet customer needs. The role also requires searching relevant literature in the field to stay current in the molecular biology arena.
Customer Support and Troubleshooting: The Scientist applies knowledge of LGC instrumentation and chemistry to provide technical support and troubleshooting for customer related issues. This role may also include the responsibility to work with current and future customers in developing new applications using existing chemistry products and instrumentation, which may be in support of commercial opportunities.
Scientific Presentations and Training: This role includes developing concept papers and presenting informally to internal and external customers and at scientific meetings. This typically involves designing experiments, using best practice to generate relevant data using LGC instrumentation and chemistry for paper and poster presentations. The Scientist may also be called upon to provide training to both internal and external customers.
Laboratory Operations and Literature Searches: Contributes to the routine operation of the laboratory through supporting day-to-day activities. Searches relevant literature in the field to stay current in the molecular biology arena.
MN2
Qualifications
Education
Minimum:
Bachelor's degree in Molecular Biology, Biochemistry, Genetics, or related field with 3-5 years of experience.
Preferred
Master’s or PhD in Molecular Biology, Biochemistry, Genetics, or related field.
Experience and Technical Skills
Experience in the field of genetics and/or molecular biology. Working knowledge of and/or experience with PCR, Real-Time PCR, nucleic acid purification, data analysis, and experimental design

Essential competencies and behaviors:
Strong documentation, experimental design, and problem solving skills
Demonstrates excellent interpersonal and communication skills. Excellent written and verbal communication and documentation skills in English. Strong presentation skills
Strong organisational skills and careful attention to detail
Builds and maintains customer satisfaction with the products and services offered by the organisation
Proficient in the usage of Microsoft Office software
Knowledge of standard molecular biology techniques, laboratory automation, chemistry and laboratory process
Promotes cooperation within a team to and uses expertise to provide recommendations to achieve goals and deliverables
Examines data to grasp issues, draw conclusions, and solve problems
Ability to work independently and collaboratively",-1,LGC Limited,"Alexandria, MN",-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
Data Analyst,$47K - $87K (Glassdoor est.),"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
Consolidate and analyze population data (premium, eligibility, claims utilization etc.) taking into account company’s goals and financial goals
Provide creative alternatives to best organize and present data from all sources (third party payors, EMR and operational)
Assemble and summarize data to structure sophisticated reports on status and risks
Work with data analytics external vendors to ensure completeness and accuracy of published information in the dashboard sites
Conduct business studies on past, future and comparative performance and work with finance to develop forecast models
Maintain specific KPIs that will flag lower than expected performance or anomalies in the data as the driver or cause
Perform ad-hoc analysis and produce summarized reports based on current initiatives and specific areas of focus deemed important to drive performance
Reconcile transactions by comparing and correcting data
Gain and update job knowledge to remain informed about novelty in the field including differences and updates of data dictionaries
Work alongside the Medical Economics team at the local provider groups to vet, understand and improve the presentation and ensure they are driving action instead of simply reporting
Drive process improvement and policy development initiatives that impact the data analysis function
Ability to streamline aggregation and maintenance of payer data archive
Minimum Qualifications
1-3 years of experience Industry related (business, health care, consulting, insurance)
Bachelor’s degree
Healthcare experience preferred
Proficiency in Microsoft Office including Excel (Vlookups and Pivot Tables), Access and Word
SQL Query skill is required
Excellent verbal, written and mathematical skills
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",4.1,"MMM Holdings
4.1","Orlando, FL",-1,1001 to 5000 Employees,-1,Company - Private,Insurance Carriers,Insurance,Less than $1 million (USD),-1
Data Analyst,-1,"Laulima Government Solutions, LLC is looking for a qualified Data Analyst to support the U.S. Army Institute of Surgical Research (USAISR) at Fort Sam Houston, TX.
JOB DESCRIPTION:
Provides reporting capability and data analysis utilizing data from the Extremity Trauma and Amputation Center of Excellence-Registry (EACE-R) and Department of Defense Trauma Registry/Military Orthopaedic Trauma Registry (DoDTR/MOTR).
Run queries on the EACE-Registry data. Produce standard weekly and monthly reports on the EACE’s population of interest. Respond to ad hoc data requests for information as approved by the EACE Director.
Extract, manipulate, analyze and array data for easy understanding.
Develop, modify, or provide input to data analytics project plans, and implements project plans to meet or exceed objectives.
Run periodic integrity checks and analyze results to identify areas to address which serves to ensure data is accurate.
Identify gaps in data comparisons between the databases.
Provide presentations or briefings on all aspects of the data analysis
Maintain analytics project SharePoint libraries providing versioning and historical background on project-related documents.
Implement or maintain quality control processes with the goal of maintaining high fidelity data in the databases.
Make improvements, solve problems, or take corrective action when problems arise.
Adhere to applicable data information and data release standard operating procedures.
Provide analytic support and coaching with clinical community customers to more completely identify the appropriate data elements to answer the research question or performance improvement queries.
Manage all access requests and coordinate with leadership for approval.
REQUIRED SKILLS AND EXPERIENCE:
Must have at least 4 years of experience.
Possess current familiarization in Microsoft C# application and SQL.
Demonstrate proficiency in highly advanced MS Excel skills and be an expert in constructing and manipulating pivot tables to collate and array data.
Must Be a US Citizen.
DESIRED SKILLS:
Health data analytics experience is a plus.
DEGREE/EDUCATION/CERTIFICATION REQUIREMENT:
BS degree in Computer Science, Computer Engineering or related field.
CITIZENSHIP/SECURITY CLEARANCE REQUIREMENTS:
Currently have a NACI background investigation or able to obtain and maintain.
Laulima Government Solutions, LLC is a fast-growing government service provider. Employees enjoy competitive salaries; a 401K plan with company match; medical, dental, disability, and life insurance coverage; tuition reimbursement; paid time off; and 10 paid holidays. Laulima Government Solutions, LLC is proud to be an equal opportunity employer.
Job Type: Full-time
Pay: $0.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Retirement plan
Vision insurance
Schedule:
Day shift
Education:
Bachelor's (Preferred)
Experience:
SQL: 1 year (Preferred)
military healthcare data: 1 year (Preferred)
Microsoft Excel: 4 years (Preferred)",-1,Alaka`ina Foundation Family of Companies,"Fort Sam Houston, TX",-1,-1,-1,-1,-1,-1,-1,-1
"Senior Data Scientist , Advanced Analytics",$123K - $199K (Glassdoor est.),"Senior Data Scientist
Raytheon Missiles & Defense (RMD)
Digital Technology, Advanced Analytics
Andover, MA

Are you a self-driven problem solver and continuous learner with a passion for data, applied statistics, machine learning, programming and visualization? If so, you might be interested in the opportunity to join RMD’s Digital Technology Advanced Analytics team as a Data Scientist.

RMD seeks an entrepreneurial analyst capable of working across functional areas with minimal supervision in order to support the application of data science / software engineering methods and techniques for production scale internal use and external research. The successful candidate will work with stakeholders and the Advanced Analytics team to develop analytic products for agile delivery. Products will span manufacturing, engineering, business development, supply chain, and quality control functions.

At RMD, we work together as one global team creating trusted, innovative solutions to make the world a safer place. Our innovation spans all domains: from land and sea to air, space and cyberspace. We’re inspired by a noble mission that’s shared by RMD employees around the globe and an inclusive culture that empowers employees and celebrates their contributions.

This role will be based in Andover, MA. Please note that limited capped budget relocation support will be provided to the selected applicant if they are eligible per company policy. The amount will be discussed at the appropriate stage of our process.

Required Skills:
Demonstrated experience meeting with business stakeholders to identify and develop requirements for strategic use cases and research and development opportunities
Specific use and application of Python (numpy, scipy, pandas, scikit-image, and scikit-learn) to statistical and/or machine learning applications beyond academic examples
Effectively communicate statistical/mathematical techniques to non-technical audiences and senior leadership
Collaborate with data owners and technology teams to source data sets required for analyses
Apply quantitative techniques (normalization, applied statistics) to cleanse and explore large, complex data sets in preparation for further analysis
Apply data reduction, feature selection, and feature engineering techniques
Develop and implement hypothesis tests
Review, enhance, and quality assure operationalized algorithms and models
Iterate on and/or create repeatable, reusable processes and scalable data products with the advanced analytics team
Maintain contemporary expertise on new data science methods, technologies, industry trends and open source packages
Eligibility to obtain a US Govt. Dept. of Defense Secret Clearance as necessary for future projects that require it. Except in rare cases, only US Citizens are eligible to obtain US Clearances.
Desired Skills:
Proficiency with at least one deep learning framework such as PyTorch, TensorFlow, Keras, Theano or Caffe
It is important that candidates demonstrate the ability to articulate application of said skills to business results rather than purely academic endeavors.
Familiarity with CNN architectures such as ResNet, Inception, XCeption, NASNet, VGG, UNet, Stacked Hourglass, MobileNet, pix2pix, and CycleGAN
Experience with data visualization applications such as Tableau, Microsoft PowerBI, SAP Lumira, etc.
Ability and eagerness to learn, educate and mentor others
Experience in diverse domains (manufacturing operations, supply chain, finance, engineering, information technology, business development, quality control)
Experience with commercial software development processes: good software hygiene regarding code documentation, unit testing, bug tracking and version control
Familiarity deploying machine learning models in public cloud services such as AWS, Azure, or Google Cloud Platform
Track record of GPU programming, network optimization and deployment for data science applications
Required Education (including Major):
Bachelor’s or higher degree in Statistics, Econometrics, Engineering, Computer Science, Finance, Mathematics or a quantitative degree in other social science or hard science fields

This position requires either a U.S. Person or a Non-U.S. Person who is eligible to obtain any required Export Authorization and required US Security Clearance.
166749
Raytheon Technologies is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",3.8,"Raytheon Missiles & Defense
3.8","Andover, MA",-1,10000+ Employees,2020,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
Scientist I,$36K - $83K (Glassdoor est.),"Location: Salt Lake City, UT, United States
Job Identification: 787
Job Schedule: Full time

Description:

This is an immediate opening for a Scientist position within the Diagnostic Development group at Myriad Genetics, who will participate in the development of molecular assays for personalized medicine. This position will focus on the development, analytical validation and technical support of RNA-based molecular assays for Myriad's clinical molecular genetic laboratory. The successful candidate for this position must have experience in molecular biology techniques including RNA extraction, RNA expression, quantitative PCR and nucleic acid sequencing methodologies. Experience with RNA splicing and RNA-based next generation sequencing, as well as familiarity with molecular infectious disease testing such as SARS-CoV-2, are highly desirable.

Specific Duties:

The responsibilities include the development and support of sophisticated clinical molecular tests ranging from tumor-based cancer prognostic tests that uses RNA gene expression profiling, RNA sequencing assay development, to SARS-CoV-2 molecular diagnostic testing. These activities will include experimental design and laboratory execution, data collection, independent problem solving, and data analysis. These development activities will also involve technical documentation, requiring excellent technical communication and writing skills.

Qualifications:

PhD, or MS with at least 3 years of experience

About UsMyriad Genetics Inc., is a leading personalized medicine company dedicated to being a trusted advisor transforming patient lives worldwide with pioneering molecular diagnostics. Myriad discovers and commercializes molecular diagnostic tests that: determine the risk of developing disease, accurately diagnose disease, assess the risk of disease progression, and guide treatment decisions across six major medical specialties where molecular diagnostics can significantly improve patient care and lower healthcare costs. Myriad is focused on three strategic imperatives: maintaining leadership in an expanding hereditary cancer market, diversifying its product portfolio through the introduction of new products and increasing the revenue contribution from international markets. For more information on how Myriad is making a difference, please visit the Company's website: www.myriad.com .

WE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to mental or physical disability, race, color, religion, gender,national origin, age, genetic information, military or veteran status, sexual orientation, marital status or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved.

Please answer all questions completely. Please do not provide any information not specifically requested on this Employment Application form.


PI126993348",4.0,"Myriad Genetics, Inc
4.0","Salt Lake City, UT",-1,1001 to 5000 Employees,1991,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),-1
